work_order_id,asset_id,timestamp,fault_type,part_replaced,technician_id,labor_hours,cost_to_fix,first_time_fix,downtime_hours
WO-01137,Conveyor_1,2023-03-08T01:33:09,Shaft misalignment,Gearbox oil,T005,3.6,2785.44,False,3.6
WO-01145,Conveyor_2,2023-03-08T15:43:23,Overheating,Drive belt,T004,10.8,3829.32,False,12.2
WO-01018,Motor_2,2023-03-08T16:06:39,Overheating,Shaft seal,T003,3.6,563.45,True,3.7
WO-01162,Turbine_1,2023-03-10T05:40:57,Impeller damage,Blade set,T001,9.5,1181.81,True,10.6
WO-01209,HVAC_3,2023-03-15T07:43:31,Seal leak,Refrigerant,T003,5.0,3476.56,True,5.8
WO-01181,Turbine_2,2023-03-23T22:24:34,Corrosion,Blade set,T003,11.7,2759.82,True,14.0
WO-01028,Motor_3,2023-04-16T03:49:39,Electrical fault,Shaft seal,T004,5.6,1923.79,True,8.2
WO-01206,HVAC_3,2023-04-18T03:54:06,Seal leak,Condenser coil,T001,4.7,1078.67,False,6.4
WO-01094,Compressor_1,2023-04-22T07:27:10,Shaft misalignment,Valve kit,T004,6.7,3193.95,True,9.9
WO-01022,Motor_3,2023-04-25T04:52:39,Belt wear,Shaft seal,T004,5.0,3498.5,True,6.1
WO-01105,Compressor_1,2023-04-27T13:38:04,Shaft misalignment,Bearing set,T003,10.5,2686.59,True,11.5
WO-01045,Motor_4,2023-04-29T14:46:44,Belt wear,Terminal block,T003,8.5,3102.74,True,10.3
WO-01078,Pump_3,2023-04-30T07:36:12,Impeller damage,Impeller,T003,10.3,4069.03,True,11.9
WO-01001,Motor_1,2023-05-04T14:43:42,Electrical fault,Fan blade,T004,7.7,2354.88,True,6.4
WO-01019,Motor_2,2023-05-05T03:44:15,Shaft misalignment,Rotor winding,T001,6.4,1249.18,True,6.0
WO-01125,Compressor_2,2023-05-05T13:35:30,Impeller damage,Air filter,T004,2.5,3283.47,True,2.8
WO-01174,Turbine_1,2023-05-06T10:09:50,Belt wear,Control valve,T001,11.1,3607.58,True,16.6
WO-01040,Motor_4,2023-05-18T15:47:09,Overheating,Rotor winding,T005,6.6,3189.05,False,8.1
WO-01092,Pump_4,2023-05-19T00:24:41,Lubrication failure,Wear ring,T002,1.9,930.7,True,1.9
WO-01144,Conveyor_2,2023-05-19T13:03:33,Belt wear,Tensioner,T004,4.7,3352.76,True,4.2
WO-01193,HVAC_1,2023-05-21T07:48:46,Impeller damage,Fan motor,T005,5.2,1860.52,True,6.9
WO-01113,Compressor_2,2023-05-29T05:42:21,Corrosion,Oil separator,T002,4.1,2090.3,True,5.6
WO-01179,Turbine_2,2023-05-31T00:04:05,Electrical fault,Control valve,T003,10.4,2662.97,True,12.6
WO-01120,Compressor_2,2023-05-31T04:29:06,Impeller damage,Air filter,T003,11.4,3791.23,True,16.0
WO-01112,Compressor_2,2023-06-01T07:34:00,Belt wear,Oil separator,T002,3.5,1949.37,False,3.3
WO-01149,Conveyor_3,2023-06-02T19:16:17,Lubrication failure,Tensioner,T001,7.7,3823.36,False,7.5
WO-01165,Turbine_1,2023-06-04T04:37:59,Impeller damage,Blade set,T001,9.2,3236.51,True,10.5
WO-01103,Compressor_1,2023-06-12T04:24:50,Bearing failure,Air filter,T005,2.0,3000.81,True,2.4
WO-01044,Motor_4,2023-06-13T02:02:30,Electrical fault,Rotor winding,T004,11.2,2715.68,False,9.5
WO-01187,Turbine_2,2023-06-15T13:19:09,Seal leak,Control valve,T004,2.4,2336.62,False,3.1
WO-01198,HVAC_2,2023-06-18T04:20:29,Overheating,Filter set,T001,1.5,3371.8,True,1.8
WO-01024,Motor_3,2023-07-02T22:44:30,Bearing failure,Terminal block,T004,8.6,3613.18,True,9.5
WO-01161,Turbine_1,2023-07-05T04:38:57,Vibration imbalance,Blade set,T004,6.8,1729.34,True,6.4
WO-01010,Motor_2,2023-07-07T23:12:49,Vibration imbalance,Drive bearing,T005,11.4,2672.58,True,11.6
WO-01109,Compressor_1,2023-07-24T12:06:45,Shaft misalignment,Bearing set,T003,11.4,1279.15,False,16.5
WO-01122,Compressor_2,2023-07-28T09:05:52,Electrical fault,Oil separator,T004,7.5,2125.55,True,6.6
WO-01084,Pump_4,2023-07-28T10:52:04,Bearing failure,Bearing,T003,11.1,1981.18,True,15.0
