asset_id,asset_type,model_number,manufacture_date,installation_date,production_line_id,criticality_tier,rated_max_vibration,rated_max_temp,replacement_cost
Motor_1,Motor,ABB-M3BP-355,2020-03-06,2021-03-06,Line_1,2,9.0,85.0,45000
Motor_2,Motor,ABB-M3BP-280,2020-03-06,2021-03-06,Line_1,2,8.0,80.0,38000
Motor_3,Motor,Siemens-1LA8,2019-03-07,2019-03-07,Line_2,2,9.5,90.0,52000
Motor_4,Motor,ABB-M3BP-315,2019-03-07,2019-03-07,Line_1,1,8.5,85.0,48000
Motor_5,Motor,Siemens-1LA7,2020-03-06,2020-03-06,Line_2,3,7.5,78.0,32000
Motor_6,Motor,WEG-W22-IE3,2016-03-07,2016-03-07,Line_3,3,8.0,82.0,35000
Pump_1,Pump,Grundfos-NK80,2021-03-06,2022-03-06,Line_1,2,6.0,70.0,22000
Pump_2,Pump,Grundfos-NK65,2014-03-08,2015-03-08,Line_2,2,5.5,68.0,18000
Pump_3,Pump,KSB-Etanorm,2019-03-07,2019-03-07,Line_3,3,6.5,72.0,24000
Pump_4,Pump,Grundfos-NK100,2019-03-07,2019-03-07,Line_4,2,7.0,75.0,28000
Compressor_1,Compressor,Atlas-GA18,2022-03-06,2022-03-06,Line_1,1,10.0,100.0,95000
Compressor_2,Compressor,Atlas-GA22,2018-03-07,2019-03-07,Line_2,1,10.0,100.0,98000
Compressor_3,Compressor,Ingersoll-UP6,2016-03-07,2017-03-07,Line_3,2,9.0,95.0,82000
Conveyor_1,Conveyor,Interroll-7000,2015-03-08,2015-03-08,Line_1,3,4.0,60.0,15000
Conveyor_2,Conveyor,Interroll-7000,2016-03-07,2017-03-07,Line_2,3,4.0,60.0,15000
Conveyor_3,Conveyor,Interroll-8000,2020-03-06,2021-03-06,Line_3,3,4.5,62.0,16500
Conveyor_4,Conveyor,Interroll-8000,2020-03-06,2021-03-06,Line_4,3,4.5,62.0,16500
Turbine_1,Turbine,GE-LM2500,2019-03-07,2019-03-07,Line_4,1,12.0,120.0,250000
Turbine_2,Turbine,GE-LM2500,2019-03-07,2019-03-07,Line_4,1,12.0,120.0,250000
HVAC_1,HVAC,Carrier-30XA,2021-03-06,2021-03-06,Line_1,3,3.5,55.0,28000
HVAC_2,HVAC,Carrier-30XA,2018-03-07,2019-03-07,Line_2,3,3.5,55.0,28000
HVAC_3,HVAC,Trane-CGAM,2017-03-07,2017-03-07,Line_3,3,4.0,58.0,30000
